BodyPart,SystemID
Trunk of anterior interventricular branch of left coronary artery,arterial
First right anterior branch of anterior interventricular branch of left coronary artery,arterial
Diagonal branch of anterior descending branch of left coronary artery,arterial
Diagonal branch of anterior descending branch of left coronary artery,arterial
Diagonal branch of anterior descending branch of left coronary artery,arterial
Diagonal branch of anterior descending branch of left coronary artery,arterial
Diagonal branch of anterior descending branch of left coronary artery,arterial
Diagonal branch of anterior descending branch of left coronary artery,arterial
Diagonal branch of anterior descending branch of left coronary artery,arterial
Diagonal branch of anterior descending branch of left coronary artery,arterial
Third right anterior branch of anterior interventricular branch of left coronary artery,arterial
Diagonal branch of anterior descending branch of left coronary artery,arterial
Conus branch of anterior interventricular branch of left coronary artery,arterial
Conus branch of anterior interventricular branch of left coronary artery,arterial
First right anterior branch of anterior interventricular branch of left coronary artery,arterial
Second right anterior branch of anterior interventricular branch of left coronary artery,arterial
Third right anterior branch of anterior interventricular branch of left coronary artery,arterial
Diagonal branch of anterior descending branch of left coronary artery,arterial
Circumflex branch of left coronary artery,arterial
Circumflex branch of left coronary artery,arterial
Circumflex branch of left coronary artery,arterial
Circumflex branch of left coronary artery,arterial
Circumflex branch of left coronary artery,arterial
Circumflex branch of left coronary artery,arterial
Coronary sinus,venous
Great cardiac vein,venous
Anterior interventricular vein,venous
Anterior interventricular vein,venous
Anterior interventricular vein,venous
Anterior interventricular vein,venous
Anterior interventricular vein,venous
Anterior interventricular vein,venous
Anterior interventricular vein,venous
Anterior interventricular vein,venous
Anterior interventricular vein,venous
Marginal branch of right coronary artery,arterial
Marginal branch of right coronary artery,arterial
Right conus artery,arterial
First anterior ventricular branch of right coronary artery,arterial
Marginal branch of right coronary artery,arterial
First anterior ventricular branch of right coronary artery,arterial
Marginal branch of right coronary artery,arterial
Marginal branch of right coronary artery,arterial
Right conus artery,arterial
First anterior ventricular branch of right coronary artery,arterial
Middle cardiac vein,venous
Middle cardiac vein,venous
Middle cardiac vein,venous
Middle cardiac vein,venous
Middle cardiac vein,venous
Middle cardiac vein,venous
Middle cardiac vein,venous
Middle cardiac vein,venous
Middle cardiac vein,venous
Middle cardiac vein,venous
Middle cardiac vein,venous
Middle cardiac vein,venous
Middle cardiac vein,venous
Middle cardiac vein,venous
Posterior interventricular branch of right coronary artery,arterial
Posterior interventricular branch of right coronary artery,arterial
Posterior interventricular branch of right coronary artery,arterial
Posterior interventricular branch of right coronary artery,arterial
Posterior interventricular branch of right coronary artery,arterial
Posterior interventricular branch of right coronary artery,arterial
Posterior interventricular branch of right coronary artery,arterial
Posterior interventricular branch of right coronary artery,arterial
Posterior interventricular branch of right coronary artery,arterial
Posterior vein of left ventricle,venous
Posterior vein of left ventricle,venous
Left marginal vein,venous
Left marginal vein,venous
Left marginal vein,venous
Posterior vein of left ventricle,venous
Posterior vein of left ventricle,venous
Posterior vein of left ventricle,venous
Posterior vein of left ventricle,venous
Posterior vein of left ventricle,venous
Posterior vein of left ventricle,venous
Posterior vein of left ventricle,venous
Posterior vein of left ventricle,venous
First posterior ventricular branch of right coronary artery,arterial
First posterior ventricular branch of right coronary artery,arterial
First posterior ventricular branch of right coronary artery,arterial
First posterior ventricular branch of right coronary artery,arterial
First posterior ventricular branch of right coronary artery,arterial
First posterior ventricular branch of right coronary artery,arterial
First posterior ventricular branch of right coronary artery,arterial
First posterior ventricular branch of right coronary artery,arterial
First posterior ventricular branch of right coronary artery,arterial
Trunk of right coronary artery,arterial
Small cardiac vein,venous
Anterior cardiac vein,venous
Right marginal vein,venous
Right marginal vein,venous
Right marginal vein,venous
Anterior cardiac vein,venous
Small cardiac vein,venous
Septal branch of anterior interventricular artery,arterial
Septal branch of anterior interventricular artery,arterial
Septal branch of anterior interventricular artery,arterial
First septal branch of right posterior interventricular artery,arterial
Second septal branch of right posterior interventricular artery,arterial
Trunk of left coronary artery,arterial
Left genioglossus,muscular
Left hyoglossus,muscular
Left inferior pharyngeal constrictor,respiratory
Left levator veli palatini,muscular
Right middle pharyngeal constrictor,respiratory
Left palatopharyngeus,respiratory
Left pterygomandibular raphe,connective
Left salpingopharyngeus,respiratory
Left stylopharyngeus,respiratory
Left superior pharyngeal constrictor,respiratory
Left tensor veli palatini,muscular
Pharyngeal raphe,connective
Right genioglossus,muscular
Right hyoglossus,muscular
Right inferior pharyngeal constrictor,respiratory
Right levator veli palatini,muscular
Left middle pharyngeal constrictor,respiratory
Right palatopharyngeus,respiratory
Right pterygomandibular raphe,connective
Right salpingopharyngeus,respiratory
Right stylopharyngeus,respiratory
Right superior pharyngeal constrictor,respiratory
Right tensor veli palatini,muscular
Tongue,digestive
Uvular muscle,muscular
Left stylohyoid ligament,connective
Right stylohyoid ligament,connective
Left sublingual gland,digestive
Left submandibular gland,digestive
Right sublingual gland,digestive
Right submandibular gland,digestive
Cricoid cartilage,skeletal
Epiglottis,respiratory
Hyo-epiglottic ligament,connective
Hyoid bone,skeletal
Left cuneiform cartilage,skeletal
Left aryepiglotticus,muscular
Left arytenoid cartilage,skeletal
Left corniculate cartilage,skeletal
Left conus elasticus,connective
Left lateral crico-arytenoid,muscular
Left lateral thyrohyoid ligament,connective
Left oblique arytenoid,muscular
Oblique part of left cricothyroid,muscular
Left posterior crico-arytenoid,muscular
Straight part of left cricothyroid,muscular
Left thyro-arytenoid,muscular
Left thyro-arytenoid,muscular
Left thyrohyoid membrane,connective
Left vocal ligament,connective
Left vocalis,muscular
Median cricothyroid ligament,connective
Median thyrohyoid ligament,connective
Right aryepiglotticus,muscular
Right arytenoid cartilage,skeletal
Right corniculate cartilage,skeletal
Right conus elasticus,connective
Right cuneiform cartilage,skeletal
Right lateral crico-arytenoid,muscular
Right lateral thyrohyoid ligament,connective
Right oblique arytenoid,muscular
Oblique part of right cricothyroid,muscular
Right posterior crico-arytenoid,muscular
Straight part of right cricothyroid,muscular
Right thyro-arytenoid,muscular
Right thyro-arytenoid,muscular
Right thyrohyoid membrane,connective
Right vocal ligament,connective
Right vocalis,muscular
Thyro-epiglottic ligament,connective
Thyroid cartilage,skeletal
Transverse arytenoid,muscular
Skin,integumentary
External ear,sensory
Eyebrow,integumentary
Hair of head,integumentary
Lip,integumentary
Pubic hair,integumentary
Caudate lobe of liver,digestive
Gallbladder,digestive
Hepatovenous segment II,venous
Hepatovenous segment III,venous
Hepatovenous segment IV,venous
Hepatovenous segment V,venous
Hepatovenous segment VI,venous
Hepatovenous segment VIII,venous
Hepatovenous segment VIII,venous
Left posterior basal segmental artery,arterial
Left lateral basal segmental artery,arterial
Left anterior basal segmental artery,arterial
Left medial basal segmental artery,arterial
Left medial basal segmental artery,arterial
Left anterior basal segmental artery,arterial
Left anterior basal segmental artery,arterial
Left superior segmental artery,arterial
Left superior segmental artery,arterial
Left superior segmental artery,arterial
Left superior segmental artery,arterial
Left posterior basal segmental artery,arterial
Left superior segmental artery,arterial
Left superior segmental artery,arterial
Left superior segmental artery,arterial
Inferior lingular artery,arterial
Inferior lingular artery,arterial
Superior lingular artery,arterial
Superior lingular artery,arterial
Superior lingular artery,arterial
Superior lingular artery,arterial
Left anterior segmental artery,arterial
Left posterior basal segmental artery,arterial
Left anterior segmental artery,arterial
Left anterior segmental artery,arterial
Left anterior segmental artery,arterial
Left anterior segmental artery,arterial
Left anterior segmental artery,arterial
Left anterior segmental artery,arterial
Left anterior segmental artery,arterial
Left posterior segmental artery,arterial
Left posterior segmental artery,arterial
Left posterior segmental artery,arterial
Left posterior basal segmental artery,arterial
Left apical segmental artery,arterial
Left apical segmental artery,arterial
Left apical segmental artery,arterial
Left apical segmental artery,arterial
Left posterior basal segmental artery,arterial
Left posterior basal segmental artery,arterial
Left lateral basal segmental artery,arterial
Left lateral basal segmental artery,arterial
Left lateral basal segmental artery,arterial
Left pulmonary artery,arterial
Left superior pulmonary vein,venous
Left posterior segmental vein,venous
Left posterior segmental vein,venous
Left posterior segmental vein,venous
Left posterior segmental vein,venous
Left anterior segmental vein,venous
Left anterior segmental vein,venous
Left anterior segmental vein,venous
Left superior pulmonary vein,venous
Inferior lingular vein,venous
Inferior lingular vein,venous
Left apical segmental vein,venous
Superior lingular vein,venous
Superior lingular vein,venous
Left posterior segmental vein,venous
Left posterior segmental vein,venous
Left posterior segmental vein,venous
Left posterior segmental vein,venous
Left posterior segmental vein,venous
Left inferior pulmonary vein,venous
Left posterior basal segmental vein,venous
Left posterior basal segmental vein,venous
Left apical segmental vein,venous
Left posterior basal segmental vein,venous
Left posterior basal segmental vein,venous
Left inferior pulmonary vein,venous
Left lateral basal segmental vein,venous
Left lateral basal segmental vein,venous
Left lateral basal segmental vein,venous
Left lateral basal segmental vein,venous
Left inferior pulmonary vein,venous
Left anterior basal segmental vein,venous
Left anterior basal segmental vein,venous
Left apical segmental vein,venous
Left anterior basal segmental vein,venous
Left anterior basal segmental vein,venous
Left apical segmental vein,venous
Left apical segmental vein,venous
Left apical segmental vein,venous
Left apical segmental vein,venous
Left posterior segmental vein,venous
Pulmonary trunk,arterial
Apical part of right apical segmental artery,arterial
Apical part of right posterior segmental artery,arterial
Apical part of right posterior segmental artery,arterial
Posterior part of right posterior segmental artery,arterial
Posterior part of right posterior segmental artery,arterial
Posterior part of right posterior segmental artery,arterial
Right upper lobar artery,arterial
Posterior branch of right anterior segmental artery,arterial
Anterior branch of right anterior segmental artery,arterial
Anterior branch of right anterior segmental artery,arterial
Anterior branch of right anterior segmental artery,arterial
Anterior part of right apical segmental artery,arterial
Anterior branch of right anterior segmental artery,arterial
Posterior branch of right anterior segmental artery,arterial
Posterior branch of right anterior segmental artery,arterial
Anterior branch of lateral segmental artery,arterial
Posterior branch of lateral segmental artery,arterial
Posterior branch of lateral segmental artery,arterial
Anterior branch of lateral segmental artery,arterial
Superior branch of medial segmental artery,arterial
Inferior branch of medial segmental artery,arterial
Inferior branch of medial segmental artery,arterial
Anterior part of right apical segmental artery,arterial
Superior branch of medial segmental artery,arterial
Lateral branch of right superior segmental artery,arterial
Lateral branch of right superior segmental artery,arterial
Lateral branch of right superior segmental artery,arterial
Medial branch of right superior segmental artery,arterial
Medial branch of right superior segmental artery,arterial
Medial branch of right superior segmental artery,arterial
Superior branch of right superior segmental artery,arterial
Superior branch of right superior segmental artery,arterial
Superior branch of right superior segmental artery,arterial
Anterior part of right apical segmental artery,arterial
Lateral branch of right anterior basal segmental artery,arterial
Basal branch of right anterior basal segmental artery,arterial
Basal branch of right anterior basal segmental artery,arterial
Lateral branch of right lateral basal segmental artery,arterial
Lateral branch of right lateral basal segmental artery,arterial
Lateral branch of right lateral basal segmental artery,arterial
Lateral branch of right lateral basal segmental artery,arterial
Mediobasal branch of right posterior basal segmental artery,arterial
Accessory subsuperior branch of right posterior basal segmental artery,arterial
Accessory subsuperior branch of right posterior basal segmental artery,arterial
Anterior part of right apical segmental artery,arterial
Mediobasal branch of right posterior basal segmental artery,arterial
Laterobasal branch of right posterior basal segmental artery,arterial
Laterobasal branch of right posterior basal segmental artery,arterial
Apical part of right apical segmental artery,arterial
Apical part of right apical segmental artery,arterial
Apical part of right apical segmental artery,arterial
Apical part of right posterior segmental artery,arterial
Right pulmonary artery,arterial
Right superior pulmonary vein,venous
Inferior part of right anterior segmental vein,venous
Right posterior segmental vein,venous
Right posterior segmental vein,venous
Right posterior segmental vein,venous
Right posterior segmental vein,venous
Right posterior segmental vein,venous
Superior part of right anterior segmental vein,venous
Right anterior segmental vein,venous
Right anterior segmental vein,venous
Superior part of medial segmental vein,venous
Trunk of right apical segmental vein,venous
Inferior part of medial segmental vein,venous
Inferior part of medial segmental vein,venous
Anterior part of lateral segmental vein,venous
Anterior part of lateral segmental vein,venous
Anterior part of lateral segmental vein,venous
Posterior part of lateral segmental vein,venous
Posterior part of lateral segmental vein,venous
Posterior part of lateral segmental vein,venous
Right inferior pulmonary vein,venous
Right posterior basal segmental vein,venous
Anterior part of right apical segmental vein,venous
Right posterior basal segmental vein,venous
Right posterior basal segmental vein,venous
Right posterior basal segmental vein,venous
Right posterior basal segmental vein,venous
Right posterior basal segmental vein,venous
Right posterior basal segmental vein,venous
Right anterior basal segmental vein,venous
Right superior segmental vein,venous
Right superior segmental vein,venous
Right superior segmental vein,venous
Anterior part of right apical segmental vein,venous
Right medial basal segmental vein,venous
Right medial basal segmental vein,venous
Right anterior basal segmental vein,venous
Right posterior basal segmental vein,venous
Right posterior basal segmental vein,venous
Right lateral basal segmental vein,venous
Right lateral basal segmental vein,venous
Right lateral basal segmental vein,venous
Right lateral basal segmental vein,venous
Right superior segmental vein,venous
Apical part of right apical segmental vein,venous
Right superior segmental vein,venous
Right superior segmental vein,venous
Apical part of right apical segmental vein,venous
Apical part of right apical segmental vein,venous
Right posterior segmental vein,venous
Right posterior segmental vein,venous
Anterior superior tributary of right hepatic biliary tree,digestive
Anterior inferior tributary of right hepatic biliary tree,digestive
Anterior superior segmental branch of right portal vein,venous
Anterior inferior segmental branch of right portal vein,venous
Anterior inferior segmental hepatic artery,arterial
Anterior superior segmental hepatic artery,arterial
Caudate lobe branch of left hepatic artery,arterial
Common hepatic artery,arterial
Common hepatic duct,digestive
Cystic duct,digestive
Hepatic artery proper,arterial
Pre-hepatic portal vein,venous
Anterior inferior segmental tributary of middle hepatic vein,venous
Medial inferior segmental tributary of middle hepatic vein,venous
Medial inferior segmental tributary of middle hepatic vein,venous
Anterior inferior segmental tributary of middle hepatic vein,venous
Lateral superior tributary of left hepatic biliary tree,digestive
Lateral inferior tributary of left hepatic biliary tree,digestive
Lateral superior tributary of left hepatic biliary tree,digestive
Lateral superior segmental hepatic artery,arterial
Lateral inferior segmental hepatic artery,arterial
Lateral superior segmental hepatic artery,arterial
Left duct of caudate lobe of liver,digestive
Trunk of left hepatic artery,arterial
Left hepatic duct,digestive
Lateral inferior segmental tributary of left hepatic vein,venous
Lateral superior segmental tributary of left hepatic vein,venous
Lateral inferior segmental tributary of left hepatic vein,venous
Lateral inferior segmental tributary of left hepatic vein,venous
Medial superior segmental tributary of left hepatic vein,venous
Trunk of left portal vein,venous
Medial inferior tributary of left hepatic biliary tree,digestive
Medial superior tributary of left hepatic biliary tree,digestive
Medial superior tributary of left hepatic biliary tree,digestive
Medial inferior segmental hepatic artery,arterial
Medial superior segmental hepatic artery,arterial
Posterior inferior tributary of right hepatic biliary tree,digestive
Posterior superior tributary of right hepatic biliary tree,digestive
Posterior superior tributary of right hepatic biliary tree,digestive
Posterior inferior segmental branch of right portal vein,venous
Posterior superior segmental branch of right portal vein,venous
Posterior superior segmental branch of right portal vein,venous
Posterior inferior segmental hepatic artery,arterial
Posterior superior segmental hepatic artery,arterial
Posterior superior segmental hepatic artery,arterial
Trunk of right hepatic artery,arterial
Posterior inferior segmental tributary of right hepatic vein,venous
Posterior superior segmental tributary of right hepatic vein,venous
Posterior inferior segmental tributary of right hepatic vein,venous
Anterior superior segmental tributary of right hepatic vein,venous
Trunk of right portal vein,venous
Right hepatic duct,digestive
Caudate lobe branch of left portal vein,venous
Lateral inferior segmental branch of left portal vein,venous
Lateral superior segmental branch of left portal vein,venous
Medial superior segmental branch of left portal vein,venous
Medial inferior segmental branch of left portal vein,venous
Left adrenal gland,endocrine
Right adrenal gland,endocrine
Diaphragm,muscular
Corpus cavernosum of penis,reproductive
Corpus spongiosum of penis,reproductive
Glans penis,reproductive
Left deferent duct,reproductive
Left epididymis,reproductive
Left seminal vesicle,reproductive
Left testis,reproductive
Prostate,reproductive
Right deferent duct,reproductive
Right epididymis,reproductive
Right testis,reproductive
Right seminal vesicle,reproductive
Left ureter,urinary
Left kidney,urinary
Right ureter,urinary
Right kidney,urinary
Urethra,urinary
Urinary bladder,urinary
Left lobe of thymus,lymphatic
Right lobe of thymus,lymphatic
Right hip bone,skeletal
Xiphoid process,skeletal
Tenth thoracic vertebra,skeletal
Eleventh thoracic vertebra,skeletal
Twelfth thoracic vertebra,skeletal
First lumbar vertebra,skeletal
First thoracic vertebra,skeletal
Second lumbar vertebra,skeletal
Second thoracic vertebra,skeletal
Third cervical vertebra,skeletal
Third lumbar vertebra,skeletal
Third thoracic vertebra,skeletal
Fourth cervical vertebra,skeletal
Fourth lumbar vertebra,skeletal
Fourth thoracic vertebra,skeletal
Fifth cervical vertebra,skeletal
Fifth lumbar vertebra,skeletal
Fifth thoracic vertebra,skeletal
Sixth cervical vertebra,skeletal
Sixth thoracic vertebra,skeletal
Seventh cervical vertebra,skeletal
Seventh thoracic vertebra,skeletal
Eighth thoracic vertebra,skeletal
Ninth thoracic vertebra,skeletal
Atlas,skeletal
Axis,skeletal
Body of sternum,skeletal
Distal phalanx of left second toe,skeletal
Distal phalanx of left third toe,skeletal
Distal phalanx of left fourth toe,skeletal
Distal phalanx of left big toe,skeletal
Distal phalanx of left index finger,skeletal
Distal phalanx of left little finger,skeletal
Distal phalanx of left little toe,skeletal
Distal phalanx of left middle finger,skeletal
Distal phalanx of left ring finger,skeletal
Distal phalanx of left thumb,skeletal
Distal phalanx of right second toe,skeletal
Distal phalanx of right third toe,skeletal
Distal phalanx of right fourth toe,skeletal
Distal phalanx of right big toe,skeletal
Distal phalanx of right index finger,skeletal
Distal phalanx of right little finger,skeletal
Distal phalanx of right little toe,skeletal
Distal phalanx of right middle finger,skeletal
Distal phalanx of right ring finger,skeletal
Distal phalanx of right thumb,skeletal
Ethmoid,skeletal
Frontal bone,skeletal
Hyoid bone,skeletal
Intervertebral disk of axis,skeletal
Intervertebral disk of fourth thoracic vertebra,skeletal
Intervertebral disk of fifth thoracic vertebra,skeletal
Intervertebral disk of sixth thoracic vertebra,skeletal
Intervertebral disk of seventh thoracic vertebra,skeletal
Intervertebral disk of eighth thoracic vertebra,skeletal
Intervertebral disk of ninth thoracic vertebra,skeletal
Intervertebral disk of tenth thoracic vertebra,skeletal
Intervertebral disk of eleventh thoracic vertebra,skeletal
Intervertebral disk,skeletal
Intervertebral disk of first lumbar vertebra,skeletal
Intervertebral disk of third cervical vertebra,skeletal
Intervertebral disk of second lumbar vertebra,skeletal
Intervertebral disk of third lumbar vertebra,skeletal
Intervertebral disk of fourth lumbar vertebra,skeletal
Intervertebral disk of fifth lumbar vertebra,skeletal
Intervertebral disk of fourth cervical vertebra,skeletal
Intervertebral disk of fifth cervical vertebra,skeletal
Intervertebral disk of sixth cervical vertebra,skeletal
Intervertebral disk of seventh cervical vertebra,skeletal
Intervertebral disk of first thoracic vertebra,skeletal
Intervertebral disk of second thoracic vertebra,skeletal
Intervertebral disk of third thoracic vertebra,skeletal
Left tenth rib,skeletal
Left eleventh rib,skeletal
Left twelfth rib,skeletal
Left first rib,skeletal
Left second rib,skeletal
Left third rib,skeletal
Left fourth rib,skeletal
Left fifth rib,skeletal
Left sixth rib,skeletal
Left seventh rib,skeletal
Left eighth rib,skeletal
Left ninth rib,skeletal
Left clavicle,skeletal
Left first costal cartilage,skeletal
Left first metacarpal bone,skeletal
Left first metatarsal bone,skeletal
Left second costal cartilage,skeletal
Left second metacarpal bone,skeletal
Left second metatarsal bone,skeletal
Left third costal cartilage,skeletal
Left third metacarpal bone,skeletal
Left third metatarsal bone,skeletal
Left fourth costal cartilage,skeletal
Left fourth metacarpal bone,skeletal
Left fourth metatarsal bone,skeletal
Left fifth costal cartilage,skeletal
Left fifth metacarpal bone,skeletal
Left fifth metatarsal bone,skeletal
Left sixth costal cartilage,skeletal
Left seventh costal cartilage,skeletal
Left calcaneus,skeletal
Left capitate,skeletal
Left cuboid bone,skeletal
Left femur,skeletal
Left fibula,skeletal
Left hamate,skeletal
Left humerus,skeletal
Left inferior nasal concha,respiratory
Left intermediate cuneiform bone,skeletal
Left lacrimal bone,sensory
Sesamoid bone of left foot,skeletal
Left lateral cuneiform bone,skeletal
Left lunate,skeletal
Left maxilla,skeletal
Sesamoid bone of left foot,skeletal
Left medial cuneiform bone,skeletal
Left nasal bone,skeletal
Left palatine bone,skeletal
Left parietal bone,skeletal
Left patella,skeletal
Left pisiform,skeletal
Left radius,skeletal
Left scaphoid,skeletal
Left scapula,skeletal
Left talus,skeletal
Left temporal bone,skeletal
Left tibia,skeletal
Left trapezium,skeletal
Left trapezoid,skeletal
Left triquetral,skeletal
Left ulna,skeletal
Left zygomatic bone,skeletal
Left hip bone,skeletal
Mandible,skeletal
Manubrium,skeletal
Middle phalanx of left ring finger,skeletal
Middle phalanx of right ring finger,skeletal
Middle phalanx of left second toe,skeletal
Middle phalanx of left third toe,skeletal
Middle phalanx of left fourth toe,skeletal
Middle phalanx of left index finger,skeletal
Middle phalanx of left little finger,skeletal
Middle phalanx of left little toe,skeletal
Middle phalanx of left middle finger,skeletal
Middle phalanx of right second toe,skeletal
Middle phalanx of right third toe,skeletal
Middle phalanx of right fourth toe,skeletal
Middle phalanx of right index finger,skeletal
Middle phalanx of right little finger,skeletal
Middle phalanx of right little toe,skeletal
Middle phalanx of right middle finger,skeletal
Navicular bone of left foot,skeletal
Navicular bone of right foot,skeletal
Occipital bone,skeletal
Proximal phalanx of right big toe,skeletal
Proximal phalanx of left third toe,skeletal
Proximal phalanx of left fourth toe,skeletal
Proximal phalanx of left index finger,skeletal
Proximal phalanx of left little finger,skeletal
Proximal phalanx of left little toe,skeletal
Proximal phalanx of left middle finger,skeletal
Proximal phalanx of left ring finger,skeletal
Proximal phalanx of left thumb,skeletal
Proximal phalanx of right second toe,skeletal
Proximal phalanx of right third toe,skeletal
Proximal phalanx of right fourth toe,skeletal
Proximal phalanx of right index finger,skeletal
Proximal phalanx of right little finger,skeletal
Proximal phalanx of right little toe,skeletal
Proximal phalanx of right middle finger,skeletal
Proximal phalanx of right ring finger,skeletal
Proximal phalanx of right thumb,skeletal
Proximal phalanx of left second toe,skeletal
Proximal phalanx of left big toe,skeletal
Right tenth rib,skeletal
Right eleventh rib,skeletal
Right twelfth rib,skeletal
Right first costal cartilage,skeletal
Right first rib,skeletal
Right second costal cartilage,skeletal
Right second rib,skeletal
Right third costal cartilage,skeletal
Right third rib,skeletal
Right fourth costal cartilage,skeletal
Right fourth rib,skeletal
Right fifth costal cartilage,skeletal
Right fifth rib,skeletal
Right sixth costal cartilage,skeletal
Right sixth rib,skeletal
Right seventh costal cartilage,skeletal
Right seventh rib,skeletal
Right eighth rib,skeletal
Right ninth rib,skeletal
Right radius,skeletal
Right first metacarpal bone,skeletal
Right first metatarsal bone,skeletal
Right second metacarpal bone,skeletal
Right second metatarsal bone,skeletal
Right third metacarpal bone,skeletal
Right third metatarsal bone,skeletal
Right fourth metacarpal bone,skeletal
Right fourth metatarsal bone,skeletal
Right fifth metacarpal bone,skeletal
Right fifth metatarsal bone,skeletal
Right calcaneus,skeletal
Right capitate,skeletal
Right clavicle,skeletal
Right cuboid bone,skeletal
Right femur,skeletal
Right fibula,skeletal
Right hamate,skeletal
Right humerus,skeletal
Right inferior nasal concha,respiratory
Right intermediate cuneiform bone,skeletal
Right lacrimal bone,sensory
Sesamoid bone of right foot,skeletal
Right lateral cuneiform bone,skeletal
Right lunate,skeletal
Right maxilla,skeletal
Sesamoid bone of right foot,skeletal
Right medial cuneiform bone,skeletal
Right nasal bone,skeletal
Right palatine bone,skeletal
Right parietal bone,skeletal
Right patella,skeletal
Right pisiform,skeletal
Right scaphoid,skeletal
Right scapula,skeletal
Right talus,skeletal
Right temporal bone,skeletal
Right tibia,skeletal
Right trapezium,skeletal
Right trapezoid,skeletal
Right triquetral,skeletal
Right ulna,skeletal
Right zygomatic bone,skeletal
Sacrum,skeletal
Sphenoid bone,skeletal
Vomer,skeletal
Mesentery of small intestine,digestive
Mesoappendix,digestive
Transverse mesocolon,digestive
Ascending branch of left colic artery,arterial
Left colic vein,venous
Anterior inferior pancreaticoduodenal artery,arterial
Anterior cecal artery,arterial
Anterior superior pancreaticoduodenal artery,arterial
Appendicular artery,arterial
Arch of aorta,arterial
Ascending aorta,arterial
Ascending branch of inferior branch of ileocolic artery,arterial
Ileocolic vein,venous
Azygos vein,venous
Brachiocephalic artery,arterial
Bronchial branch of arch of aorta,arterial
Caudal pancreatic artery,arterial
Splenic artery,arterial
Celiac trunk,arterial
Left superficial dorsal vein of penis,venous
Descending aorta,arterial
Descending branch of left colic artery,arterial
Left colic vein,venous
Dorsal pancreatic artery,arterial
Set of oesophageal branches of thoracic aorta,arterial
Trunk of gastroduodenal artery,arterial
Great pancreatic artery,arterial
Hemiazygos vein,venous
Ileal artery,arterial
Ileal vein,venous
Ileocolic artery,arterial
Ileocolic vein,venous
Inferior vena cava,venous
Inferior mesenteric artery,arterial
Inferior mesenteric vein,venous
Inferior pancreatic artery,arterial
Inferior pancreaticoduodenal artery,arterial
Inferior phrenic vein,venous
Inferior phrenic vein,venous
Inferior phrenic vein,venous
Inferior phrenic vein,venous
Inferior phrenic vein,venous
Inferior phrenic vein,venous
Anterior division of left renal artery,arterial
Anterior division of left renal artery,arterial
Anterior division of left renal artery,arterial
Anterior division of left renal artery,arterial
Anterior division of left renal artery,arterial
Anterior division of left renal artery,arterial
Left common iliac artery,arterial
Left common iliac vein,venous
Left external iliac artery,arterial
Left inferior suprarenal artery,arterial
Left internal iliac artery,arterial
Left internal iliac vein,venous
Left internal iliac vein,venous
Left internal iliac vein,venous
Left middle suprarenal artery,arterial
Posterior division of left renal artery,arterial
Posterior division of left renal artery,arterial
Posterior division of left renal artery,arterial
Trunk of left renal artery,arterial
Left renal vein,venous
Left renal vein,venous
Left subclavian artery,arterial
Left suprarenal vein,venous
Ureteric segment of left renal artery,arterial
Left brachiocephalic vein,venous
Left common carotid artery,arterial
Left external iliac vein,venous
Left internal jugular vein,venous
Left subclavian vein,venous
Left ascending lumbar vein,venous
Left colic artery,arterial
Left colic vein,venous
Left dorsal artery of penis,arterial
Left dorsal artery of penis,arterial
Left gastric artery,arterial
Left gastric vein,venous
Left gastro-epiploic artery,arterial
Left gastroepiploic vein,venous
Left iliolumbar vein,venous
Left inferior epigastric artery,arterial
Left inferior epigastric vein,venous
Left inferior gluteal vein,venous
Left inferior phrenic artery,arterial
Left inferior phrenic artery,arterial
Left inferior phrenic artery,arterial
Left inferior phrenic artery,arterial
Left inferior phrenic artery,arterial
Left inferior phrenic artery,arterial
Left inferior phrenic artery,arterial
Left external iliac vein,venous
Left external iliac vein,venous
Left external iliac vein,venous
Left internal pudendal vein,venous
Left lateral sacral vein,venous
Left obturator vein,venous
Left superficial epigastric artery,arterial
Left superior epigastric vein,venous
Left superior gluteal vein,venous
Left testicular artery,arterial
Left testicular vein,venous
Marginal artery of colon,arterial
Median sacral vein,venous
Middle colic artery,arterial
Middle colic vein,venous
Splenic artery,arterial
Pancreaticoduodenal vein,venous
Posterior inferior pancreaticoduodenal artery,arterial
Posterior cecal artery,arterial
Posterior superior pancreaticoduodenal artery,arterial
Anterior division of right renal artery,arterial
Anterior division of right renal artery,arterial
Anterior division of right renal artery,arterial
Anterior division of right renal artery,arterial
Anterior division of right renal artery,arterial
Anterior division of right renal artery,arterial
Right common carotid artery,arterial
Right common iliac artery,arterial
Right common iliac vein,venous
Right external iliac artery,arterial
Right external iliac vein,venous
Right internal iliac artery,arterial
Right internal iliac vein,venous
Right internal iliac vein,venous
Right internal iliac vein,venous
Posterior division of right renal artery,arterial
Posterior division of right renal artery,arterial
Posterior division of right renal artery,arterial
Trunk of right renal artery,arterial
Right renal vein,venous
Right renal vein,venous
Right subclavian artery,arterial
Right suprarenal vein,venous
Ureteric segment of right renal artery,arterial
Ureteric segment of right renal artery,arterial
Right brachiocephalic vein,venous
Right inferior suprarenal artery,arterial
Right internal jugular vein,venous
Right middle suprarenal artery,arterial
Right subclavian vein,venous
Right ascending lumbar vein,venous
Right colic artery,arterial
Right colic vein,venous
Right dorsal artery of penis,arterial
Right dorsal artery of penis,arterial
Right gastric artery,arterial
Right gastric vein,venous
Right gastro-epiploic artery,arterial
Right gastroepiploic vein,venous
